22-09-07 14:35:58.677 - INFO: Namespace(aux_learning_rate=0.001, basepoint=None, batch_size=8, checkpoint=None, clip_max_norm=1.0, config=None, cuda=True, dataset='/home/qororo606/flicker', epochs=500, experiment='MS_q2', gpu_id=0, learning_rate=0.0001, lmbda=0.0035, lsq=False, metrics='mse', model='ms-relu', num_workers=4, patch_size=(256, 256), pretrain=False, quality=2, save=True, seed=None, test_batch_size=1)
22-09-07 14:35:58.678 - INFO: MSReLU(
  (entropy_bottleneck): EntropyBottleneck(
    (likelihood_lower_bound): LowerBound()
  )
  (g_a): Sequential(
    (0): Conv2d(3, 128, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2))
    (1): ReLU()
    (2): Conv2d(128, 128, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2))
    (3): ReLU()
    (4): Conv2d(128, 128, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2))
    (5): ReLU()
    (6): Conv2d(128, 192, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2))
  )
  (g_s): Sequential(
    (0): ConvTranspose2d(192, 128, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2), output_padding=(1, 1))
    (1): ReLU()
    (2): ConvTranspose2d(128, 128, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2), output_padding=(1, 1))
    (3): ReLU()
    (4): ConvTranspose2d(128, 128, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2), output_padding=(1, 1))
    (5): ReLU()
    (6): ConvTranspose2d(128, 3, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2), output_padding=(1, 1))
  )
  (h_a): Sequential(
    (0): Conv2d(192, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): ReLU()
    (2): Conv2d(128, 128, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2))
    (3): ReLU()
    (4): Conv2d(128, 128, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2))
  )
  (h_s): Sequential(
    (0): ConvTranspose2d(128, 192, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2), output_padding=(1, 1))
    (1): ReLU()
    (2): ConvTranspose2d(192, 288, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2), output_padding=(1, 1))
    (3): ReLU()
    (4): Conv2d(288, 384, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
  )
  (gaussian_conditional): GaussianConditional(
    (likelihood_lower_bound): LowerBound()
    (lower_bound_scale): LowerBound()
  )
)
22-09-07 14:35:58.680 - INFO: Learning rate: 0.0001
22-09-07 14:36:02.880 - INFO: Train epoch 0: [    0/16574 (0%)] Loss: 38.5997 | MSE loss: 0.1683 | Bpp loss: 0.2868 | Aux loss: 5276.89
22-09-07 14:36:06.402 - INFO: Train epoch 0: [  800/16574 (5%)] Loss: 6.1932 | MSE loss: 0.0251 | Bpp loss: 0.4830 | Aux loss: 5249.02
22-09-07 14:36:10.024 - INFO: Train epoch 0: [ 1600/16574 (10%)] Loss: 3.1210 | MSE loss: 0.0120 | Bpp loss: 0.3882 | Aux loss: 5217.85
22-09-07 14:36:13.717 - INFO: Train epoch 0: [ 2400/16574 (14%)] Loss: 2.8122 | MSE loss: 0.0104 | Bpp loss: 0.4425 | Aux loss: 5189.32
22-09-07 14:36:17.594 - INFO: Train epoch 0: [ 3200/16574 (19%)] Loss: 3.0374 | MSE loss: 0.0113 | Bpp loss: 0.4608 | Aux loss: 5159.77
22-09-07 14:36:21.218 - INFO: Train epoch 0: [ 4000/16574 (24%)] Loss: 2.4395 | MSE loss: 0.0090 | Bpp loss: 0.4024 | Aux loss: 5132.04
22-09-07 14:36:25.054 - INFO: Train epoch 0: [ 4800/16574 (29%)] Loss: 1.7872 | MSE loss: 0.0060 | Bpp loss: 0.4282 | Aux loss: 5098.10
22-09-07 14:36:28.580 - INFO: Train epoch 0: [ 5600/16574 (34%)] Loss: 2.1979 | MSE loss: 0.0080 | Bpp loss: 0.3754 | Aux loss: 5061.97
22-09-07 14:36:32.271 - INFO: Train epoch 0: [ 6400/16574 (39%)] Loss: 2.3403 | MSE loss: 0.0084 | Bpp loss: 0.4341 | Aux loss: 5026.22
22-09-07 14:36:35.768 - INFO: Train epoch 0: [ 7200/16574 (43%)] Loss: 2.3610 | MSE loss: 0.0086 | Bpp loss: 0.3956 | Aux loss: 4988.15
22-09-07 14:36:39.337 - INFO: Train epoch 0: [ 8000/16574 (48%)] Loss: 2.6531 | MSE loss: 0.0098 | Bpp loss: 0.4218 | Aux loss: 4956.64
22-09-07 14:36:43.051 - INFO: Train epoch 0: [ 8800/16574 (53%)] Loss: 1.3694 | MSE loss: 0.0044 | Bpp loss: 0.3761 | Aux loss: 4919.08
22-09-07 14:36:46.710 - INFO: Train epoch 0: [ 9600/16574 (58%)] Loss: 2.1733 | MSE loss: 0.0077 | Bpp loss: 0.4242 | Aux loss: 4889.28
22-09-07 14:36:50.274 - INFO: Train epoch 0: [10400/16574 (63%)] Loss: 2.8371 | MSE loss: 0.0108 | Bpp loss: 0.3729 | Aux loss: 4850.84
22-09-07 14:36:54.024 - INFO: Train epoch 0: [11200/16574 (68%)] Loss: 2.2280 | MSE loss: 0.0078 | Bpp loss: 0.4548 | Aux loss: 4819.90
22-09-07 14:36:57.502 - INFO: Train epoch 0: [12000/16574 (72%)] Loss: 1.4249 | MSE loss: 0.0046 | Bpp loss: 0.3893 | Aux loss: 4774.24
22-09-07 14:37:01.054 - INFO: Train epoch 0: [12800/16574 (77%)] Loss: 1.6816 | MSE loss: 0.0056 | Bpp loss: 0.4053 | Aux loss: 4733.02
